Name,Year_of_Release,Genre,Global_Sales,Critic_Score,User_Score,Rating,
Wii Sports,2006,Sports,82.53,76,8,E,
Super Mario Bros.,1985,Platform,40.24,,,,
Mario Kart Wii,2008,Racing,35.52,82,8.3,E,
Wii Sports Resort,2009,Sports,32.77,80,8,E,
Pokemon Red/Pokemon Blue,1996,Role-Playing,31.37,,,,
Tetris,1989,Puzzle,30.26,,,,
New Super Mario Bros.,2006,Platform,29.8,89,8.5,E,
Wii Play,2006,Misc,28.92,58,6.6,E,
New Super Mario Bros. Wii,2009,Platform,28.32,87,8.4,E,
Duck Hunt,1984,Shooter,28.31,,,,
Nintendogs,2005,Simulation,24.67,,,,
Mario Kart DS,2005,Racing,23.21,91,8.6,E,
Pokemon Gold/Pokemon Silver,1999,Role-Playing,23.1,,,,
Wii Fit,2007,Sports,22.7,80,7.7,E,
Kinect Adventures!,2010,Misc,21.81,61,6.3,E,
Wii Fit Plus,2009,Sports,21.79,80,7.4,E,
Grand Theft Auto V,2013,Action,21.04,97,8.2,M,
Grand Theft Auto: San Andreas,2004,Action,20.81,95,9,M,
Super Mario World,1990,Platform,20.61,,,,
Brain Age: Train Your Brain in Minutes a Day,2005,Misc,20.15,77,7.9,E,
Pokemon Diamond/Pokemon Pearl,2006,Role-Playing,18.25,,,,
Super Mario Land,1989,Platform,18.14,,,,
Super Mario Bros. 3,1988,Platform,17.28,,,,
Grand Theft Auto V,2013,Action,16.27,97,8.1,M,
Grand Theft Auto: Vice City,2002,Action,16.15,95,8.7,M,
Pokemon Ruby/Pokemon Sapphire,2002,Role-Playing,15.85,,,,
Brain Age 2: More Training in Minutes a Day,2005,Puzzle,15.29,77,7.1,E,
Pokemon Black/Pokemon White,2010,Role-Playing,15.14,,,,
Gran Turismo 3: A-Spec,2001,Racing,14.98,95,8.4,E,
Call of Duty: Modern Warfare 3,2011,Shooter,14.73,88,3.4,M,
Pokémon Yellow: Special Pikachu Edition,1998,Role-Playing,14.64,,,,
Call of Duty: Black Ops 3,2015,Shooter,14.63,,,,
Call of Duty: Black Ops,2010,Shooter,14.61,87,6.3,M,
Pokemon X/Pokemon Y,2013,Role-Playing,14.6,,,,
Call of Duty: Black Ops II,2012,Shooter,13.79,83,5.3,M,
Call of Duty: Black Ops II,2012,Shooter,13.67,83,4.8,M,
Call of Duty: Modern Warfare 2,2009,Shooter,13.47,94,6.3,M,
Call of Duty: Modern Warfare 3,2011,Shooter,13.32,88,3.2,M,
Grand Theft Auto III,2001,Action,13.1,97,8.5,M,
Super Smash Bros. Brawl,2008,Fighting,12.84,93,8.9,T,
Mario Kart 7,2011,Racing,12.66,85,8.2,E,
Call of Duty: Black Ops,2010,Shooter,12.63,88,6.4,M,
Grand Theft Auto V,2014,Action,12.61,97,8.3,M,
Animal Crossing: Wild World,2005,Simulation,12.13,86,8.7,E,
Halo 3,2007,Shooter,12.12,94,7.8,M,
Super Mario 64,1996,Platform,11.89,,,,
Pokemon HeartGold/Pokemon SoulSilver,2009,Action,11.77,,,,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014,Role-Playing,11.68,,,,
Gran Turismo 4,2004,Racing,11.66,89,8.5,E,
Super Mario Galaxy,2007,Platform,11.35,97,8.9,E,
Super Mario Land 2: 6 Golden Coins,1992,Adventure,11.18,,,,
Grand Theft Auto IV,2008,Action,11.01,98,7.9,M,
Gran Turismo,1997,Racing,10.95,96,8.7,E,
Super Mario 3D Land,2011,Platform,10.81,90,8.4,E,
Gran Turismo 5,2010,Racing,10.7,84,7.5,E,
Call of Duty: Modern Warfare 2,2009,Shooter,10.6,94,6.3,M,
Super Mario All-Stars,1993,Platform,10.55,,,,
Grand Theft Auto IV,2008,Action,10.5,98,7.5,M,
Pokemon FireRed/Pokemon LeafGreen,2004,Role-Playing,10.49,,,,
Super Mario 64,2004,Platform,10.3,,,,
Call of Duty: Ghosts,2013,Shooter,10.25,73,2.6,M,
Just Dance 3,2011,Misc,10.12,74,7.8,E10+,
New Super Mario Bros. 2,2012,Platform,9.9,78,7.2,E,
Mario Kart 64,1996,Racing,9.87,,,,
Halo: Reach,2010,Shooter,9.86,91,7.9,M,
Final Fantasy VII,1997,Role-Playing,9.72,92,9.2,T,
Halo 4,2012,Shooter,9.71,87,7,M,
Gran Turismo 2,1999,Racing,9.49,93,9,T,
Just Dance 2,2010,Misc,9.44,74,7.3,E10+,
Call of Duty: Ghosts,2013,Shooter,9.36,71,2.6,M,
Call of Duty 4: Modern Warfare,2007,Shooter,9.31,94,8.4,M,
Donkey Kong Country,1994,Platform,9.3,,,,
Minecraft,2013,Misc,9.18,,,,
Animal Crossing: New Leaf,2012,Simulation,9.16,88,8.7,E,
Mario Party DS,2007,Misc,8.91,72,7.8,E,
The Elder Scrolls V: Skyrim,2011,Role-Playing,8.79,96,8.4,M,
Super Mario Kart,1992,Racing,8.76,,,,
FIFA 16,2015,Sports,8.57,82,4.3,E,
Halo 2,2004,Shooter,8.49,95,8.2,M,
Wii Party,2010,Misc,8.38,68,7.4,E,
Mario Party 8,2007,Misc,8.27,62,6.3,E,
FIFA Soccer 13,2012,Action,8.16,88,6.6,E,
GoldenEye 007,1997,Shooter,8.09,,,,
Pokemon Black 2/Pokemon White 2,2012,Role-Playing,8.07,,,,
Final Fantasy X,2001,Role-Playing,8.05,92,8.7,T,
The Sims 3,2009,Simulation,8.01,86,7.6,T,
Mario & Sonic at the Olympic Games,2007,Sports,7.99,,,,
Star Wars Battlefront (2015),2015,Shooter,7.98,,,,
Final Fantasy VIII,1999,Role-Playing,7.86,90,8.6,T,
Pac-Man,1982,Puzzle,7.81,,,,
Pokémon Platinum Version,2008,Role-Playing,7.72,83,8.5,E,
Grand Theft Auto: Liberty City Stories,2005,Action,7.69,88,7.6,M,
Call of Duty: Advanced Warfare,2014,Shooter,7.66,83,5.7,M,
The Legend of Zelda: Ocarina of Time,1998,Action,7.6,,,,
FIFA 17,2016,Sports,7.59,85,5,E,
Crash Bandicoot 2: Cortex Strikes Back,1997,Platform,7.58,,,,
Super Smash Bros. for Wii U and 3DS,2014,Fighting,7.55,,,,
