age,reels_watch_time_hours,daily_screen_time_hours,sleep_hours,attention_span_score,focus_level,task_completion_rate,stress_level,platform
21,1.86,7.34,8.95,4.99,5.09,45.44,Medium,TikTok
34,3.03,5.78,5.78,3.73,8.25,50.17,High,TikTok
43,3.96,9.62,5.46,5.48,8.96,43.27,Low,TikTok
29,3.56,7.25,5.09,5.54,9.77,64.99,Low,Instagram Reels
25,4.58,2.13,8.12,8.07,4.11,89.28,Low,Instagram Reels
22,2.04,9.36,5.05,2.11,6.35,88.73,Medium,YouTube Shorts
43,3.61,9.32,8.62,1.74,8.41,94.29,Low,TikTok
35,0.98,3.65,7.34,4.62,5.79,84.74,Medium,YouTube Shorts
21,2.78,11.57,8.49,8.99,5.16,54.67,High,YouTube Shorts
40,4.63,4.24,6.77,8.7,6.15,82.14,Medium,Instagram Reels
33,4.31,6.58,7.45,6.04,4.21,85.23,High,TikTok
37,5.95,3.15,7.1,9.0,2.73,72.59,Medium,YouTube Shorts
25,2.03,8.03,8.16,8.25,1.6,88.42,Low,YouTube Shorts
25,3.24,5.75,8.18,3.5,6.49,44.28,Low,YouTube Shorts
38,2.31,5.53,6.95,2.53,4.41,75.69,High,Instagram Reels
35,2.92,10.27,7.16,3.71,8.95,68.79,Low,TikTok
18,5.21,2.1,8.61,3.04,3.01,88.31,Low,TikTok
22,4.26,9.98,8.65,6.6,3.8,47.68,Low,Instagram Reels
38,5.35,7.71,7.32,6.26,9.73,52.76,High,TikTok
17,1.62,11.86,4.04,6.39,6.01,73.52,Medium,Instagram Reels
36,5.3,7.89,4.52,2.7,4.12,96.83,Medium,TikTok
35,0.83,2.55,8.29,8.13,8.75,44.99,High,YouTube Shorts
16,5.39,2.51,4.42,4.9,7.69,84.6,High,TikTok
38,2.31,10.83,5.07,5.25,6.16,52.32,Low,YouTube Shorts
26,2.23,10.41,5.15,9.97,9.0,46.33,Medium,TikTok
44,3.32,5.46,7.0,3.54,1.85,63.69,High,YouTube Shorts
20,5.67,8.18,6.88,4.55,4.55,74.98,Medium,TikTok
16,0.76,6.9,5.45,7.09,8.29,89.62,High,YouTube Shorts
42,2.44,11.67,5.04,8.92,4.47,78.08,High,TikTok
35,5.21,11.5,7.82,2.14,9.34,69.5,Low,Instagram Reels
15,2.68,11.84,8.68,7.62,2.37,57.14,Medium,TikTok
26,1.6,10.66,4.26,9.26,4.03,57.55,Medium,YouTube Shorts
40,2.84,11.1,4.67,4.81,4.83,86.23,High,Instagram Reels
36,2.62,4.17,7.21,3.58,7.18,46.84,High,Instagram Reels
43,5.53,10.31,8.02,7.1,2.76,48.79,High,YouTube Shorts
26,4.69,9.09,7.96,3.21,1.09,83.18,High,Instagram Reels
39,3.28,11.63,7.6,4.46,9.79,97.66,Low,YouTube Shorts
31,5.94,7.71,8.44,9.07,9.09,47.21,Low,Instagram Reels
41,3.06,2.85,5.09,6.31,3.7,76.57,High,TikTok
41,0.82,7.97,4.54,1.85,5.35,54.35,Low,YouTube Shorts
24,1.94,8.87,7.08,3.97,5.4,41.55,Medium,Instagram Reels
42,2.9,4.2,8.11,6.65,8.82,89.94,Medium,Instagram Reels
42,1.36,5.94,6.91,5.33,6.37,70.52,High,YouTube Shorts
30,5.71,7.99,8.81,6.94,8.44,41.43,Low,YouTube Shorts
29,4.72,5.74,7.98,7.85,9.21,93.73,Low,YouTube Shorts
44,1.98,5.75,7.5,5.33,6.09,72.14,High,Instagram Reels
44,3.75,3.33,4.3,9.88,3.57,84.22,Low,Instagram Reels
29,4.47,11.41,4.54,9.23,5.49,65.41,Medium,TikTok
44,5.68,9.5,7.92,1.54,8.66,51.09,Medium,YouTube Shorts
33,5.35,2.01,4.99,3.4,6.25,67.93,Medium,TikTok
26,3.33,9.66,4.14,3.7,9.06,57.26,Medium,YouTube Shorts
37,4.76,9.4,8.55,2.66,9.06,57.8,High,Instagram Reels
34,3.59,2.1,8.45,3.81,4.36,78.63,Low,YouTube Shorts
39,3.54,5.7,5.09,4.82,5.03,45.64,Low,TikTok
17,1.13,8.07,7.9,1.46,7.1,63.82,Medium,TikTok
19,1.19,6.53,4.24,2.15,2.0,72.8,Low,Instagram Reels
33,3.41,9.78,5.43,1.87,5.19,82.59,Medium,TikTok
21,1.98,6.25,7.12,1.42,2.34,77.97,High,TikTok
35,0.62,3.54,7.82,5.33,8.63,93.17,High,Instagram Reels
23,4.48,11.76,4.05,4.0,9.49,99.54,High,TikTok
21,0.68,4.42,5.63,9.42,2.27,96.25,Medium,Instagram Reels
32,3.77,9.18,5.07,1.92,7.01,85.85,Medium,Instagram Reels
18,3.47,3.43,8.99,9.33,6.73,81.16,High,TikTok
39,5.83,5.29,7.35,1.78,7.84,42.13,Low,Instagram Reels
